MachineChestPressIncline, 70, 11, 12-02-2022
MachineChestPressIncline, 70, 12, 12-02-2022
MachineChestPressIncline, 70, 12, 12-02-2022
Dip, 0, 6, 12-02-2022
Dip, 0, 8, 12-02-2022
Dip, 0, 8, 12-02-2022
PectoralFly, 145, 12, 12-02-2022
PectoralFly, 145, 12, 12-02-2022
PectoralFly, 145, 12, 12-02-2022
DumbbellShoulderPress, 50, 11, 12-02-2022
DumbbellShoulderPress, 50, 12, 12-02-2022
DumbbellShoulderPress, 50, 12, 12-02-2022
LateralRaise, 25, 8, 12-02-2022
LateralRaise, 25, 8, 12-02-2022
LateralRaise, 25, 8, 12-02-2022
MachineCurl, 120, 11, 12-04-2022
MachineCurl, 120, 10, 12-04-2022
MachineCurl, 120, 10, 12-04-2022
MachineCurl, 120, 12, 12-04-2022
DumbbellCurl, 25, 11, 12-04-2022
DumbbellCurl, 25, 12, 12-04-2022
DumbbellCurl, 25, 12, 12-04-2022
HammerCurl, 30, 8, 12-04-2022
HammerCurl, 25, 13, 12-04-2022
HammerCurl, 30, 9, 12-04-2022
CableCurl, 20, 12, 12-04-2022
CableCurl, 20, 12, 12-04-2022
SeatedCalfRaise, 55, 12, 12-05-2022
SeatedCalfRaise, 55, 13, 12-05-2022
SeatedCalfRaise, 55, 12, 12-05-2022
LegCurl, 140, 15, 12-05-2022
LegCurl, 140, 13, 12-05-2022
LegCurl, 140, 13, 12-05-2022
LegPress, 270, 14, 12-05-2022
LegPress, 270, 13, 12-05-2022
LegPress, 270, 14, 12-05-2022
LegPress, 270, 12, 12-05-2022
DumbbellRDL, 50, 10, 12-05-2022
DumbbellRDL, 50, 10, 12-05-2022
DumbbellRDL, 50, 12, 12-05-2022
LegExtension, 130, 12, 12-05-2022
LegExtension, 130, 14, 12-05-2022
LegExtension, 130, 13, 12-05-2022
CableCrunch, 65, 15, 12-05-2022
CableCrunch, 65, 15, 12-05-2022
CableCrunch, 65, 15, 12-05-2022
CableCrunch, 65, 15, 12-05-2022
CableCrunch, 65, 15, 12-05-2022
LegRaiseCrunch, 0, 12, 12-05-2022
LegRaiseCrunch, 0, 12, 12-05-2022
LegRaiseCrunch, 0, 12, 12-05-2022
LegRaiseCrunch, 0, 12, 12-05-2022
LegRaiseCrunch, 0, 12, 12-05-2022
MachineShoulderPress, 65, 13, 12-06-2022
MachineShoulderPress, 65, 12, 12-06-2022
MachineShoulderPress, 70, 12, 12-06-2022
LateralRaise, 25, 10, 12-06-2022
LateralRaise, 25, 9, 12-06-2022
LateralRaise, 25, 10, 12-06-2022
DumbbellShoulderPress, 50, 12, 12-06-2022
DumbbellShoulderPress, 50, 12, 12-06-2022
DumbbellShoulderPress, 50, 12, 12-06-2022
TricepExtension, 60, 12, 12-06-2022
TricepExtension, 60, 12, 12-06-2022
TricepExtension, 60, 12, 12-06-2022
OverheadTricepExtension, 40, 12, 12-06-2022
OverheadTricepExtension, 42, 12, 12-06-2022
OverheadTricepExtension, 42, 13, 12-06-2022
MachineChestPress, 180, 11, 12-06-2022
MachineChestPress, 175, 10, 12-06-2022
MachineChestPress, 175, 10, 12-06-2022
MachineChestPress, 175, 12, 12-06-2022
DumbbellChestPressIncline, 60, 12, 12-06-2022
DumbbellChestPressIncline, 60, 12, 12-06-2022
DumbbellChestPressIncline, 60, 12, 12-06-2022
DumbbellChestPressIncline, 60, 12, 12-06-2022
PectoralFly, 150, 12, 12-06-2022
PectoralFly, 150, 12, 12-06-2022
PectoralFly, 150, 12, 12-06-2022
SeatedCalfRaise, 55, 15, 12-08-2022
SeatedCalfRaise, 55, 15, 12-08-2022
SeatedCalfRaise, 55, 15, 12-08-2022
LegCurl, 135, 14, 12-08-2022
LegCurl, 140, 13, 12-08-2022
LegCurl, 140, 13, 12-08-2022
LegPress, 280, 13, 12-08-2022
LegPress, 280, 13, 12-08-2022
LegPress, 280, 12, 12-08-2022
LegPress, 280, 13, 12-08-2022
BarbellSquat, 155, 12, 12-08-2022
BarbellSquat, 155, 12, 12-08-2022
BarbellSquat, 155, 12, 12-08-2022
LegExtension, 130, 12, 12-08-2022
LegExtension, 130, 12, 12-08-2022
LegExtension, 130, 12, 12-08-2022
CableCrunch, 65, 15, 12-08-2022
CableCrunch, 65, 15, 12-08-2022
CableCrunch, 65, 15, 12-08-2022
CableCrunch, 65, 15, 12-08-2022
CableCrunch, 65, 15, 12-08-2022
LegRaiseCrunch, 0, 10, 12-08-2022
